assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_label
CHEMBL769664,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22139,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22139,IC50,nM,7700.0,CHEMBL1939,IC50,uM,7.7,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22139,IC50,nM,60.0,CHEMBL1939,IC50,uM,0.06,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22139,IC50,nM,9750.0,CHEMBL1939,IC50,uM,9.75,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,IC50,nM,15220.0,CHEMBL1939,IC50,uM,15.22,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,IC50,nM,2280.0,CHEMBL1939,IC50,uM,2.28,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,IC50,nM,3520.0,CHEMBL1939,IC50,uM,3.52,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,IC50,nM,3330.0,CHEMBL1939,IC50,uM,3.33,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
