identifier,canonical_smiles,p_active,is_african_np,docking_rank
CNP0346465.1,C=C(CC[C@H](C)[C@H]1CC[C@]2(C)C[C@@H]3CC[C@@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35C[C@@]12C)C(C)C,0.3133711168815723,True,272
CNP0208534.7,C=C1C(=O)O[C@@H]2/C=C(/C)C(=O)/C=C\[C@@](C)(O)C[C@@H](OC(=O)C(C)C)[C@@H]12,0.31318867578864495,True,273
CNP0226538.2,COc1ccc(C[C@H]2COc3cc(O)cc(O)c3C2=O)cc1,0.31277519165738193,True,274
CNP0325228.0,C=C1OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OC)C1=O,0.31236578776266,True,275
CNP0329927.1,CCN1CC[C@H]2c3ccccc3N[C@@H]2[C@H]1CCCc1nccc2c3cc(O)ccc3n(C)c12,0.3116379032965277,True,276
CNP0196776.3,COC(=O)/C(=C\C[C@@H]1[C@@]2(CC[C@@H]3C(C)(C)CCC[C@@]31C)CO2)[C@@H]1CO1,0.31061072298820264,True,277
CNP0236620.27,CC[C@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,0.3105495057910009,True,278
CNP0346266.1,CC[C@]1(C)OC[C@H]2CC(=O)[C@@H]3[C@@H]([C@@H]21)[C@H](O)C[C@]1(C)[C@H](c2ccoc2)OC(=O)[C@@H]2O[C@@]321,0.31019070458609405,True,279
CNP0161258.2,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,0.3099005108150825,True,280
CNP0346270.1,CC(=O)CCc1cc(O)cc2c1C(=O)C[C@H](C)O2,0.3098393333877872,True,281
CNP0237026.1,C=C(C)[C@@H]1CC[C@]2(C)CC[C@@H]3[C@H](CC[C@H]4[C@@]3(C)CC=C3C(C)(C)[C@@H](O)CC[C@@]34C)[C@H]12,0.30957458869309684,True,282
CNP0354403.1,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,0.30957349406547296,True,283
CNP0214030.0,CC=C1OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OC)C1=O,0.30854756301792297,True,284
CNP0145998.6,CC(=O)O[C@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]43[C@@]12C,0.3073207546811512,True,285
CNP0422843.2,COc1ccc2c(c1)C[C@H]1NCCc3cc4c(c-2c31)OCO4,0.3063106915263286,True,286
CNP0225677.1,CO[C@H]1C=CC2=CC(=O)N3CCc4cc5c(cc4[C@]23C1)OCO5,0.3048121820299162,True,287
CNP0332712.1,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc2c1OC(C)(C)CC2,0.3044380627780244,True,288
CNP0317662.1,CC(=O)CCc1cc(O)cc2c1C(=O)C[C@H](CO)O2,0.3042366175750553,True,289
CNP0309861.3,O=C1C[C@]23C=CCN4CC[C@H]5c6cc7c(cc6N1[C@@]5(CC2)[C@H]43)OCO7,0.3042257564460611,True,290
CNP0346405.1,CC(=O)[C@@]1(C)CCC[C@]2(C)[C@H]3CC[C@]4(C)C(=CC[C@@]5(C(=O)O)CCC(C)(C)C[C@H]54)[C@]3(C)CC[C@H]21,0.30376948032610124,True,291
CNP0346316.1,COC/C=C/c1ccc2c(c1)[C@H](COC(C)=O)[C@H](c1ccc(OC)c(OC)c1)O2,0.30351955064726155,True,292
CNP0364202.1,C=C1C(=O)O[C@@H]2/C=C3\CC[C@]4(O)O[C@]4(C[C@H](O[C@@H](O)C(=C)CO)[C@H]12)[C@H](O)OC3,0.3031511525164664,True,293
CNP0346315.1,C=C[C@@]1(C)C[C@H]2CC[C@@]3(C)[C@@](C)(CC[C@@H](O)[C@]3(C)C=O)[C@]2(C)C[C@@H]1O,0.30269866579010124,True,294
CNP0346362.1,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc2c1OC(C)(C)CC2,0.3025321141157355,True,295
CNP0333434.0,COc1cc2c(cc1-c1cc3cc4ccoc4cc3oc1=O)OCO2,0.30252212074673046,True,296
CNP0282274.0,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1-c1cc(=O)c(OC)c(C)o1,0.3016957226788885,True,297
CNP0346216.1,C=C/C=C(C=C)/C=C/C(=O)O[C@H]1[C@@H]2C=CO[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@H]2[C@]2(CO)O[C@H]12,0.30156212222134576,True,298
CNP0146759.1,COc1cc([C@H]2CC(=O)c3ccc(O)cc3O2)cc(CCC(C)C)c1O,0.30155048317028343,True,299
CNP0319845.2,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4,0.30061778971449116,True,300
CNP0240312.10,C[C@H]1C(=O)CC[C@@H]2[C@@]1(C)CC[C@H]1[C@]2(C)CC[C@]2(C)[C@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,0.3004861046026957,True,301
CNP0200637.3,COc1ccc2c(c1CC=C(C)C)O[C@@H]1c3ccc(O)cc3OC[C@@]21O,0.3004750014280906,True,302
