dock_id,identifier,canonical_smiles,p_active,is_african_np,vina_score_1,vina_score_2,vina_score_3,n_modes,dock_time_s,dock_ok,out_pdbqt,docking_rank
CNP0282274_0,CNP0282274.0,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1-c1cc(=O)c(OC)c(C)o1,0.3016957226788885,True,-9.563,-9.148,-8.618,9,21.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0282274_0_out.pdbqt,47
CNP0346501_1,CNP0346501.1,C=CC[C@@]12C[C@]3(C[C@H](C)[C@@H]1c1cc(OC)c4c(c1)OCO4)OCOC3=CC2=O,0.3162404404429907,True,-9.563,-9.315,-8.1,9,13.5,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346501_1_out.pdbqt,48
CNP0257972_0,CNP0257972.0,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)=N2,0.7014525423789645,False,-9.56,-9.148,-9.056,9,93.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0257972_0_out.pdbqt,49
CNP0195150_0,CNP0195150.0,CC(=O)c1nc(C(=O)NC(CCC(=O)O)C(=O)O)cc2c1[nH]c1ccccc12,0.6084507214176728,False,-9.501,-8.9,-8.864,9,41.4,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0195150_0_out.pdbqt,50
CNP0355142_0,CNP0355142.0,CN1CCc2cc3c(c4c2c1cc1cc2c(cc14)OCO2)OCO3,0.3158273059280632,True,-9.5,-9.477,-9.236,9,4.2,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0355142_0_out.pdbqt,51
CNP0346216_1,CNP0346216.1,C=C/C=C(C=C)/C=C/C(=O)O[C@H]1[C@@H]2C=CO[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@H]2[C@]2(CO)O[C@H]12,0.3015621222213457,True,-9.495,-9.09,-8.599,9,82.2,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346216_1_out.pdbqt,52
CNP0507737_1,CNP0507737.1,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,0.7259881738988141,False,-9.491,-9.251,-9.244,9,94.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0507737_1_out.pdbqt,53
CNP0389131_28,CNP0389131.28,CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,0.3203467857503427,True,-9.452,-9.011,-8.405,9,20.3,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0389131_28_out.pdbqt,54
CNP0330111_1,CNP0330111.1,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@@H]4C(C)(C)C(=O)C(O)=C[C@]4(C)[C@H]3CC[C@]12C)C(C)C,0.3485723276327141,True,-9.438,-9.412,-9.011,9,23.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0330111_1_out.pdbqt,55
CNP0221435_4,CNP0221435.4,C=C(C)[C@H]1Cc2c(cc(O)c3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.3153634836843372,True,-9.433,-9.273,-9.207,9,12.5,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0221435_4_out.pdbqt,56
CNP0346379_1,CNP0346379.1,C=C(C)[C@H]1C=Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.3242042855763716,True,-9.411,-9.038,-8.195,9,10.3,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346379_1_out.pdbqt,57
CNP0177974_4,CNP0177974.4,CC(C)=CCC/C(=C/CC/C(C)=C/CC[C@@]1(C)C=Cc2cc(O)cc(C)c2O1)C(=O)O,0.3542295365169819,True,-9.41,-9.056,-8.943,9,47.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0177974_4_out.pdbqt,58
CNP0601223_1,CNP0601223.1,C[N+]1=C2C(O)=NC(=N)N=C2NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.6367314514511905,False,-9.408,-9.187,-9.166,9,66.5,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0601223_1_out.pdbqt,59
CNP0346184_0,CNP0346184.0,COc1cc2c(cc1OC)C(Cc1ccc(OCc3ccccc3)c(OC)c1)=NCC2,0.5463314058064613,False,-9.407,-9.381,-9.286,9,28.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346184_0_out.pdbqt,60
CNP0169938_1,CNP0169938.1,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,0.7149112191157967,False,-9.395,-9.013,-8.88,9,86.0,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0169938_1_out.pdbqt,61
CNP0198269_1,CNP0198269.1,CC(C)=CCCc1cc(/C=C/C(=O)c2cc3c(cc2O)O[C@@H](C(C)(C)O)C3)ccc1O,0.3345689983672071,True,-9.379,-9.34,-9.214,9,33.0,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0198269_1_out.pdbqt,62
CNP0315999_0,CNP0315999.0,CC(C)=CCCC(C)=CCOc1cc(O)c2c(c1)Cc1cc(C)cc(O)c1C2=O,0.3289914322516444,True,-9.371,-9.344,-9.327,9,26.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0315999_0_out.pdbqt,63
CNP0414251_1,CNP0414251.1,CC(=O)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.3827212591469293,True,-9.34,-8.962,-8.906,9,10.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0414251_1_out.pdbqt,64
CNP0346321_1,CNP0346321.1,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.4019833001501217,True,-9.338,-8.663,-7.842,9,24.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0346321_1_out.pdbqt,65
CNP0602969_1,CNP0602969.1,Nc1nc2c(c(=O)[nH]1)N=C(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,0.6915890438451003,False,-9.333,-8.916,-8.915,9,85.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0602969_1_out.pdbqt,66
