GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3450,-0.0,-0.0,-0.0,-16.78,-20.21,-0.0,-0.0,26.24,-2.85,-36.99,23.39,-13.6
3520,-0.0,0.0,-0.0,-19.96,-15.65,-0.0,0.0,23.24,-2.86,-35.61,20.39,-15.23
3590,0.0,-0.0,-0.0,-22.42,-3.09,0.0,-0.0,15.07,-2.91,-25.52,12.16,-13.36
3660,0.0,-0.0,-0.0,-25.69,-11.61,-0.0,0.0,20.36,-2.96,-37.31,17.4,-19.91
3730,-0.0,0.0,0.0,-21.05,-7.9,0.0,0.0,15.91,-2.43,-28.95,13.48,-15.47
3800,0.0,-0.0,0.0,-26.76,-6.11,-0.0,-0.0,17.65,-2.97,-32.87,14.68,-18.19
3870,0.0,-0.0,-0.0,-29.32,-2.33,0.0,0.0,16.34,-3.28,-31.65,13.05,-18.6
3940,0.0,-0.0,0.0,-23.55,-15.67,-0.0,0.0,22.41,-2.95,-39.23,19.47,-19.76
4010,0.0,-0.0,-0.0,-24.48,-5.03,-0.0,-0.0,17.42,-2.93,-29.51,14.5,-15.02
4080,-0.0,-0.0,0.0,-27.57,-8.59,0.0,-0.0,17.62,-3.07,-36.16,14.55,-21.61
4150,-0.0,0.0,-0.0,-25.71,-12.84,-0.0,-0.0,17.78,-3.09,-38.55,14.69,-23.86
4220,-0.0,-0.0,0.0,-21.77,-12.55,0.0,-0.0,17.18,-2.87,-34.31,14.31,-20.0
4290,-0.0,-0.0,0.0,-24.92,-7.97,0.0,0.0,15.56,-2.85,-32.89,12.71,-20.18
4360,0.0,-0.0,-0.0,-26.8,-11.03,0.0,-0.0,18.56,-3.02,-37.83,15.54,-22.29
4430,-0.0,-0.0,0.0,-26.18,-9.75,-0.0,0.0,19.36,-2.92,-35.92,16.44,-19.48
