GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
6110,13.3,30.84,35.11,-2.16,-135.61,19.31,103.98,-40.0,3.65,0.0,64.78,-36.35,28.42
6180,16.23,36.72,31.78,-2.5,-135.02,18.84,104.81,-39.74,3.66,0.0,70.85,-36.08,34.78
6250,9.32,24.33,28.42,1.02,-132.44,21.23,102.18,-39.49,3.62,0.0,54.07,-35.87,18.2
6320,14.65,26.54,35.6,-2.18,-136.61,19.06,104.34,-38.58,3.64,0.0,61.39,-34.94,26.45
6390,9.58,26.46,31.28,3.0,-137.2,23.36,105.35,-38.3,3.56,0.0,61.84,-34.74,27.1
6460,17.2,25.15,40.92,-4.29,-132.27,17.68,102.36,-39.75,3.67,0.0,66.76,-36.08,30.67
6530,16.34,29.06,38.19,-3.94,-130.51,18.34,105.58,-43.48,3.64,0.0,73.06,-39.84,33.22
6600,16.1,28.2,34.33,-2.44,-132.86,19.21,104.25,-41.25,3.64,0.0,66.8,-37.6,29.19
6670,13.99,34.84,29.92,-3.82,-133.22,20.6,106.15,-41.83,3.59,0.0,68.45,-38.24,30.21
6740,19.56,29.43,39.24,-3.11,-126.06,15.58,103.18,-43.75,3.64,0.0,77.82,-40.11,37.71
6810,18.54,30.78,35.89,-5.19,-130.88,18.6,105.13,-42.58,3.61,0.0,72.87,-38.97,33.9
6880,15.81,30.48,36.51,-3.28,-132.18,16.94,105.75,-42.84,3.63,0.0,70.02,-39.21,30.81
6950,15.23,22.31,44.54,-3.22,-131.5,16.49,103.22,-41.69,3.66,0.0,67.06,-38.03,29.03
7020,13.63,30.25,33.75,-2.74,-127.82,17.9,104.56,-43.31,3.64,0.0,69.53,-39.66,29.87
7090,17.29,26.31,32.56,-2.95,-128.64,17.25,104.95,-43.27,3.6,0.0,66.77,-39.67,27.1
7160,12.67,31.79,31.9,-3.93,-134.62,21.75,104.33,-38.9,3.65,0.0,63.89,-35.25,28.64
7230,10.13,28.41,32.39,0.84,-136.98,20.44,105.16,-39.25,3.57,0.0,60.4,-35.68,24.73
7300,11.17,24.61,34.71,-4.11,-133.93,20.07,106.05,-41.11,3.65,0.0,58.58,-37.46,21.12
7370,16.48,23.57,31.5,-2.93,-129.33,20.74,102.33,-40.96,3.64,0.0,62.37,-37.32,25.04
7440,13.47,27.15,41.14,-3.0,-130.3,16.92,103.12,-40.64,3.68,0.0,68.49,-36.95,31.54
7510,12.99,29.29,31.96,-1.06,-130.94,19.17,106.96,-42.93,3.64,0.0,68.38,-39.29,29.09
7580,9.75,31.52,33.67,-4.58,-132.42,20.71,106.43,-42.12,3.63,0.0,65.09,-38.49,26.6
7650,9.16,27.43,33.46,-0.18,-130.18,20.05,104.25,-41.68,3.62,0.0,63.99,-38.05,25.94
7720,14.51,34.6,33.68,0.65,-134.86,20.78,107.35,-41.72,3.63,0.0,76.72,-38.09,38.64
7790,19.14,29.72,29.31,-2.43,-137.02,20.18,105.06,-39.47,3.63,0.0,63.96,-35.84,28.12
7860,19.47,26.06,30.16,-1.6,-130.55,17.99,103.15,-40.45,3.64,0.0,64.68,-36.82,27.86
7930,9.57,32.16,32.89,-0.27,-132.04,19.94,103.14,-40.89,3.61,0.0,65.39,-37.28,28.11
8000,12.07,27.83,34.14,-5.01,-137.93,22.71,106.94,-39.96,3.6,0.0,60.75,-36.36,24.39
8070,18.32,28.76,38.53,1.19,-133.3,20.03,103.57,-39.56,3.63,0.0,77.1,-35.94,41.17
8140,14.97,22.74,35.61,-1.59,-128.99,17.39,103.47,-42.99,3.65,0.0,63.61,-39.34,24.27
8210,14.25,29.26,29.56,1.57,-132.41,18.0,103.58,-40.38,3.61,0.0,63.81,-36.77,27.04
8280,16.35,30.92,35.78,-4.43,-133.12,17.86,102.94,-40.86,3.58,0.0,66.3,-37.28,29.02
8350,15.63,30.69,29.61,-1.95,-132.05,17.78,104.49,-42.0,3.61,0.0,64.2,-38.39,25.81
8420,10.32,28.27,33.58,-1.74,-133.36,18.76,104.35,-42.14,3.6,0.0,60.18,-38.53,21.64
8490,17.27,32.32,36.76,-3.16,-127.51,19.63,101.32,-43.57,3.62,0.0,76.62,-39.95,36.67
8560,15.89,27.83,30.24,-1.11,-129.74,16.79,103.59,-42.69,3.68,0.0,63.49,-39.01,24.47
8630,10.18,35.46,30.5,-3.47,-128.92,20.14,103.28,-44.1,3.64,0.0,67.17,-40.46,26.71
8700,13.07,35.55,31.74,-1.07,-132.6,20.83,105.04,-42.83,3.63,0.0,72.56,-39.2,33.36
8770,16.49,31.01,32.83,-2.95,-130.48,17.96,102.83,-42.8,3.63,0.0,67.69,-39.17,28.51
8840,11.61,31.71,28.89,-3.27,-131.19,18.72,101.64,-40.74,3.61,0.0,58.11,-37.13,20.98
8910,14.94,24.04,30.54,-3.24,-133.77,18.96,104.93,-41.01,3.6,0.0,56.4,-37.41,18.99
8980,17.89,28.99,32.97,-2.12,-129.77,19.36,103.76,-41.92,3.6,0.0,71.08,-38.32,32.76
9050,18.03,27.48,35.61,-5.26,-131.63,17.35,104.72,-42.55,3.7,0.0,66.31,-38.85,27.46
9120,16.83,29.17,38.99,-4.84,-129.18,18.79,105.74,-43.02,3.6,0.0,75.51,-39.42,36.09
9190,13.13,27.99,34.26,-3.91,-134.25,21.13,105.67,-41.09,3.62,0.0,64.03,-37.47,26.56
